Entity,Code,Year,January,February,March,April,May,June,July,August,September,October,November,December
Australia,AUS,2000,-1.6399765,-0.77664757,-0.9649315,-1.2120152,-1.9371967,-1.3097734,-0.112238884,-0.6909771,0.74256706,-1.3992176,-0.62960815,-0.6268406
Australia,AUS,2001,0.5731487,-0.44356537,-1.5872059,-0.5942764,-1.0102024,0.14733982,-0.36336517,-0.5750942,-0.09334183,-2.1485214,-1.2812996,-1.1327648
Australia,AUS,2002,-0.6387501,-1.4999199,-0.06267929,1.2040005,0.964756,-0.09910202,-0.13116074,-0.22118378,0.13252068,0.41552353,1.0127354,0.63580894
Australia,AUS,2003,0.12830734,0.31155396,-0.8045864,0.21459961,0.5834484,0.3676691,0.1848135,-0.034965515,0.32490158,-1.2829094,0.14920807,0.5493336
Australia,AUS,2004,-0.15053749,0.19713593,-0.081970215,0.24435616,-0.45944595,0.20025826,-0.25922585,-0.7373018,-1.0805664,1.1032963,-0.21750069,0.17060661
Australia,AUS,2005,0.08650398,0.5796108,0.81419563,2.1555996,0.9872265,0.56228065,0.40144157,-0.30057716,0.16498756,0.3460102,0.2548313,0.67134666
Australia,AUS,2006,0.20745277,-0.05356407,0.12110138,-1.3076191,-1.3770733,-1.3168812,-0.6486721,0.6448612,0.42799568,0.7444248,1.3018951,-0.20598984
Australia,AUS,2007,-0.6971035,1.5896244,-0.19035721,0.37448883,1.2759666,-1.9434776,-0.26769924,0.38154602,0.36972427,0.56692886,0.18492699,-0.38773155
Australia,AUS,2008,0.7848034,-1.1612873,0.2816105,-0.9020462,0.080545425,0.6250124,-0.20270729,-1.4637966,0.35791588,0.9210224,-0.8730717,-0.3468914
Australia,AUS,2009,-0.07490921,0.16794777,0.23637772,-0.06871796,-0.37124062,0.23482704,0.08407593,2.0459614,0.20996666,-0.23690605,1.2472324,0.45200157
Australia,AUS,2010,0.08167839,0.42217827,-0.10297775,0.6258602,-0.054279327,-0.08538437,0.17720985,-0.7646189,-1.309288,-1.5657177,-1.3695908,-1.0394936
Australia,AUS,2011,0.13150215,-1.1256733,-1.8529129,-1.3545227,-1.9635849,-1.0633307,-0.18715763,0.43947983,-0.8303108,-0.5273857,-0.62823296,-0.8694935
Australia,AUS,2012,-0.87184715,-0.7466068,-1.6311493,-0.5972824,-0.88773155,-1.0382233,-1.1438932,-0.12893486,0.18924332,0.25022697,0.7988701,0.67624474
Australia,AUS,2013,1.3244514,0.39006042,0.41710663,0.69462395,0.65979385,0.2099905,0.8020172,1.2355785,1.8628483,0.77036667,0.012353897,0.3816204
Australia,AUS,2014,0.44454193,-0.5385933,0.6339989,0.39159966,1.2750568,-0.038869858,-0.31422138,-0.31847954,0.46643066,1.4311275,1.2645073,0.43416977
Australia,AUS,2015,-0.7286663,1.6277504,0.541626,-1.334507,-0.40662193,0.929965,-0.17741108,0.05193138,-0.63306427,2.3021164,1.3102703,0.5858841
Australia,AUS,2016,-0.29072,0.8133011,1.1725483,1.4910412,1.4544468,0.7260685,0.24731159,-0.1978836,-1.4292984,-1.2682438,0.06208229,0.032011032
Australia,AUS,2017,-0.30778694,-0.025829315,1.1742477,-0.5770645,0.28791618,-0.0020179749,0.99036026,0.51304054,0.31977654,0.52788925,0.08229256,0.70903397
Australia,AUS,2018,0.46006012,0.19180489,0.5951767,1.8224773,-0.17520714,-0.14491653,0.5685501,-0.64790535,-0.23997879,0.93899727,0.08020401,1.781332
Australia,AUS,2019,2.2378883,1.1658936,1.5932293,0.7291527,0.11588287,-0.1499281,0.8674679,-0.42599487,0.31937408,1.4687996,0.5290127,3.056137
Australia,AUS,2020,0.4594288,0.40804672,0.18504143,0.9221859,-1.0337753,0.6297045,0.19317722,0.68122673,1.4608002,-0.049331665,1.840868,-0.73625755
Australia,AUS,2021,-0.59695244,-0.98506737,-0.44127846,-0.45336533,0.010746002,-0.27527428,0.93249226,0.6501026,-0.16523933,-0.17518616,-1.6575317,0.7243023
Australia,AUS,2022,0.24435234,-0.34199905,1.0367985,0.75793266,0.39809227,-0.003033638,-0.9530239,-0.059488297,-0.6352043,-1.1527653,-2.0872478,-0.7227726
Australia,AUS,2023,-1.0225029,-0.027593613,0.5999069,-0.94957733,-1.514225,0.41778183,0.2838955,1.6488914,1.5523872,0.30373573,0.6766434,1.1450386
Australia,AUS,2024,0.74196434,1.3155918,0.11705017,-1.350874,0.45219612,0.019170761,-0.31708336,2.2783127,0.6159897,1.5375538,0.8373432,1.2306023
Australia,AUS,2025,1.5915909,1.3243523,1.764328,0.05687332,0.21491623,-0.38889408,-0.3739996,-0.32063484,0.0025730133,,,